SUSPENSION_HEIGHT_CUR_1,SUSPENSION_HEIGHT_CUR_2,SUSPENSION_HEIGHT_CUR_3,SUSPENSION_HEIGHT_CUR_4,SUSPENSION_PRESSURE_CUR_1,SUSPENSION_PRESSURE_CUR_2,SUSPENSION_PRESSURE_CUR_3,SUSPENSION_PRESSURE_CUR_4,time
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:05.388767
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:05.597138
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:05.796660
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:06.006905
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:06.219115
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:06.418588
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:06.617052
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:06.818727
-41.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:07.026797
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:07.227076
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:07.426531
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:07.626981
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:07.839415
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:08.087442
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:08.307477
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:08.527126
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:06:08.742804
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.76,18:06:08.939602
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.76,18:06:09.139575
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.76,18:06:09.339636
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.76,18:06:09.539764
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.76,18:06:09.766613
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.76,18:06:09.987726
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.76,18:06:10.197542
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.76,18:06:10.397283
-41.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.75,18:06:10.596569
-41.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.75,18:06:10.796795
-41.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.75,18:06:10.996444
-41.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.75,18:06:11.217529
-41.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.75,18:06:11.416705
-41.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.75,18:06:11.627344
-41.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.75,18:06:11.828501
-41.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.75,18:06:12.027245
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.75,18:06:12.227110
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.75,18:06:12.427084
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.75,18:06:12.640186
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.75,18:06:12.867870
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.75,18:06:13.077020
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.75,18:06:13.297645
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.75,18:06:13.499442
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.75,18:06:13.716971
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.75,18:06:13.919593
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.75,18:06:14.116589
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.75,18:06:14.317100
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.75,18:06:14.526931
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.75,18:06:14.726928
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.75,18:06:14.927327
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.75,18:06:15.141972
-41.00,-40.00,-73.00,-68.00,1.20,1.32,0.69,0.75,18:06:15.367773
